Latitude 	 Longitude 	 Weight 	 Continent
51.7407	-0.970062	10	Europe
47.5159	7.00546	1	Europe
51.6722	-4.70437	2	Europe
39.4683	-86.0073	2	North America
56.5904	59.9662	4	Europe
37.3572	-120.604	2	North America
9.71243	-63.2647	7	South America
38.0197	12.5266	1	Europe
51.6953	17.4444	1	Europe
5.65479	100.872	4	Asia
34.7739	-96.662	1	North America
-23.5339	-47.0999	30	South America
51.6408	4.59251	5	Europe
49.3848	3.44006	4	Europe
-3.11112	-40.8263	1	South America
44.9407	-90.5866	1	North America
51.3562	-2.8323	11	Europe
35.1288	-84.8749	3	North America
18.9642	-99.6395	1	North America
17.1281	-96.2945	5	North America
-17.7967	15.7804	1	Africa
55.3259	11.3906	3	Europe
42.0556	3.16072	3	Europe
33.7885	35.6622	26	Asia
43.5658	-71.4825	2	North America
33.7948	-116.989	13	North America
30.3137	-97.6715	74	North America
-20.4597	-46.0594	11	South America
40.6007	-0.339136	1	Europe
-0.769361	-48.5121	4	South America
60.3358	-1.33	3	Europe
36.5772	-79.4128	24	North America
-5.39307	102.237	4	Asia
39.7749	140.08	3	Asia
35.2323	136.268	4	Asia
51.204	16.1524	12	Europe
-18.3438	-47.117	1	South America
45.344	28.808	13	Europe
57.3287	53.8645	1	Europe
7.18839	124.241	2	Asia
52.0801	-2.03567	7	Europe
55.8811	38.7853	3	Europe
-3.83184	-49.6803	14	South America
42.8261	-86.0163	2	North America
-21.2905	-49.923	1	South America
30.6822	29.2858	1	Africa
34.3934	-99.0101	1	North America
58.1694	14.8278	1	Europe
-25.9256	32.4648	4	Africa
27.6984	-82.4019	1	North America
43.6487	3.5524	2	Europe
36.061	-115.134	170	North America
-20.1957	-44.7117	5	South America
32.1934	-94.1947	2	North America
13.6355	123.196	7	Asia
4.47597	-74.376	1	South America
32.5253	-92.4307	2	North America
58.0571	7.48665	2	Europe
5.2918	115.697	2	Asia
48.9858	2.46036	258	Europe
47.2153	7.8091	1	Europe
51.768	-1.24184	39	Europe
53.4451	-2.40567	53	Europe
37.9344	-121.732	11	North America
51.5915	5.3151	5	Europe
52.8101	-8.43265	1	Europe
-19.3133	-47.5312	1	South America
48.8899	6.3875	3	Europe
-37.665	144.964	27	Oceania
51.2353	6.61155	5	Europe
-25.553	-48.4967	57	South America
41.3209	69.2997	8	Asia
44.6106	4.3942	3	Europe
12.3732	123.632	1	Asia
37.6671	126.767	2	Asia
46.5949	-92.5727	2	North America
-21.4551	-45.2045	1	South America
40.175	18.1651	2	Europe
42.2392	-97.0193	1	North America
51.5416	0.664369	15	Europe
31.0939	35.7073	2	Asia
-37.1134	-56.8629	15	South America
54.7748	32.0569	25	Europe
30.473	-89.0839	3	North America
34.2044	-79.252	7	North America
41.1203	28.7987	8	Asia
45.9758	-112.513	1	North America
3.74179	102.548	12	Asia
32.8629	-96.9614	104	North America
-16.4024	-41.0586	1	South America
36.0028	-91.6584	1	North America
36.0926	137.359	1	Asia
52.5659	5.64832	3	Europe
35.1682	-2.93328	13	Africa
-5.25892	119.856	1	Asia
46.6556	-52.6409	4	North America
24.8147	67.0085	19	Asia
6.84624	100.467	1	Asia
47.6769	-116.799	1	North America
42.2662	-82.1508	11	North America
55.819	37.3341	58	Europe
47.6482	18.9475	2	Europe
41.8332	20.8857	1	Europe
54.4843	-5.52886	1	Europe
34.0024	-5.5429	40	Africa
40.9606	-78.1256	1	North America
49.3179	-88.1366	1	North America
-5.489	-47.7759	1	South America
38.6742	-84.0476	2	North America
37.5576	-90.3063	2	North America
64.0954	11.7721	1	Europe
3.63298	114.533	7	Asia
-32.5379	151.177	1	Oceania
34.9327	-2.33562	2	Africa
-14.5043	-56.8506	8	South America
50.0501	8.08072	1	Europe
39.5644	-76.677	2	North America
2.29132	102.572	32	Asia
-14.9243	13.4783	1	Africa
40.6334	-80.6984	2	North America
30.1565	-115.58	8	North America
18.2162	-71.1045	3	North America
-32.005	115.768	28	Oceania
36.3001	-76.9733	1	North America
-7.83582	-35.7604	1	South America
3.01697	-60.6432	7	South America
-0.370226	35.9287	2	Africa
48.6705	16.0186	2	Europe
-29.3292	-51.5004	148	South America
44.1911	-75.2965	3	North America
41.966	12.1088	1	Europe
49.4117	1.04164	36	Europe
42.3027	-85.215	9	North America
10.6424	-74.7518	1	South America
-20.6488	-41.9102	5	South America
49.4015	2.85486	4	Europe
40.7773	-73.1183	2	North America
19.9404	-97.9612	4	North America
43.1792	-76.0539	2	North America
36.6581	128.453	1	Asia
51.7967	1.13072	2	Europe
-23.1018	-54.0488	18	South America
39.5387	-104.976	24	North America
40.3009	-3.73089	101	Europe
50.2478	3.92045	19	Europe
36.7629	34.4932	17	Asia
6.6697	-1.57389	15	Africa
31.5939	-7.95924	70	Africa
-2.96616	-40.8077	8	South America
9.00351	7.27045	2	Africa
52.3851	-2.27787	13	Europe
