Latitude 	 Longitude 	 Weight 	 Continent
-22.0668	-42.9237	72	South America
43.6407	-72.8562	1	North America
5.77241	6.07593	2	Africa
17.6531	-101.6	1	North America
1.43672	125.129	4	Asia
45.5822	5.90643	8	Europe
33.6226	-82.4792	2	North America
35.2716	-78.2021	1	North America
61.2617	75.1928	1	Europe
38.1094	-95.4632	1	North America
-16.666	-49.2685	139	South America
56.5904	59.9662	44	Europe
38.161	-85.0764	1	North America
41.0645	28.2869	1	Asia
29.144	-98.6488	2	North America
43.6678	-85.4906	11	North America
32.3426	-108.681	1	North America
52.9085	-1.5478	59	Europe
-23.5339	-47.0999	11	South America
39.3621	-111.584	2	North America
39.8905	-83.4345	6	North America
-8.05888	111.915	4	Asia
-23.5977	148.651	1	Oceania
38.1133	-83.5298	2	North America
37.7612	-87.1243	12	North America
31.8302	-102.497	2	North America
2.13701	102.715	2	Asia
-7.46064	-35.1597	2	South America
17.1281	-96.2945	19	North America
26.5471	-81.8892	19	North America
55.1576	-118.782	1	North America
51.62	19.3657	3	Europe
-20.4597	-46.0594	3	South America
52.1924	17.4849	1	Europe
46.2462	6.89154	7	Europe
43.8637	-0.486987	16	Europe
40.0275	-81.5842	3	North America
-6.79208	107.17	12	Asia
51.204	16.1524	6	Europe
46.2528	5.65773	8	Europe
45.5824	12.3668	1	Europe
38.7618	-76.7887	602	North America
-16.4509	-51.1932	1	South America
-1.41365	120.769	2	Asia
-43.0348	-73.5346	11	South America
55.8811	38.7853	1	Europe
29.3241	-98.2502	4	North America
35.6581	-97.5353	37	North America
54.0232	12.4926	1	Europe
40.7197	-74.2127	1194	North America
-20.1957	-44.7117	1	South America
32.1934	-94.1947	6	North America
32.2113	-82.4648	7	North America
4.47597	-74.376	1	South America
32.5253	-92.4307	3	North America
42.6514	-71.2982	165	North America
37.0154	-95.94	1	North America
-42.9055	147.32	3	Oceania
15.4856	-86.5752	1	North America
38.6372	-90.5048	39	North America
-41.2863	174.776	3	Oceania
17.998	101.755	4	Asia
46.1383	1.05621	2	Europe
48.0689	9.26295	1	Europe
4.84964	114.885	10	Asia
38.7558	-82.0792	3	North America
-25.0576	-49.3198	5	South America
41.9999	-92.6538	57	North America
3.89572	103.077	14	Asia
-25.553	-48.4967	21	South America
36.6035	-78.149	4	North America
42.5319	-82.9083	252	North America
43.2911	-84.1401	3	North America
42.2437	-84.4267	68	North America
16.241	-61.356	32	North America
50.807	23.8904	2	Europe
40.454	-79.0288	1	North America
-15.8136	-47.9898	26	South America
48.2822	6.95782	3	Europe
39.9268	9.66351	1	Europe
57.6958	-4.27587	4	Europe
44.4937	34.1539	2	Europe
30.5232	-88.6894	1	North America
33.139	-118.389	1	North America
32.2617	-92.1112	1	North America
45.0906	6.0636	3	Europe
44.1893	10.9476	1	Europe
38.373	-112.662	3	North America
-17.9039	-51.7309	1	South America
34.6399	-86.5352	21	North America
8.09846	-80.9877	1	North America
43.1486	-8.9674	1	Europe
41.8578	-71.4565	303	North America
39.879	-82.0899	4	North America
32.8629	-96.9614	290	North America
-16.4024	-41.0586	1	South America
55.8883	38.0758	8	Europe
38.6855	-87.5089	7	North America
44.8983	-0.266828	8	Europe
40.3401	-74.0852	59	North America
46.6556	-52.6409	6	North America
