Latitude 	 Longitude 	 Weight 	 Continent
56.5904	59.9662	30	Europe
34.7957	-118.858	1	North America
38.161	-85.0764	1	North America
49.3762	3.32463	4	Europe
29.144	-98.6488	1	North America
43.6678	-85.4906	10	North America
52.9085	-1.5478	52	Europe
-23.5339	-47.0999	14	South America
39.3621	-111.584	2	North America
40.8202	-75.2974	4	North America
-8.05888	111.915	3	Asia
-23.5977	148.651	1	Oceania
38.1133	-83.5298	2	North America
31.8302	-102.497	1	North America
35.4555	-78.5311	14	North America
17.1281	-96.2945	17	North America
26.5471	-81.8892	14	North America
55.1576	-118.782	1	North America
1.3245	103.936	426	Asia
51.62	19.3657	2	Europe
-20.4597	-46.0594	5	South America
52.1924	17.4849	1	Europe
46.2462	6.89154	7	Europe
43.8637	-0.486987	14	Europe
-6.61153	107.486	3	Asia
40.0275	-81.5842	3	North America
51.204	16.1524	1	Europe
6.43866	100.531	3	Asia
46.2528	5.65773	8	Europe
45.5824	12.3668	1	Europe
38.7618	-76.7887	471	North America
55.8811	38.7853	1	Europe
29.3241	-98.2502	3	North America
35.6581	-97.5353	29	North America
54.0232	12.4926	1	Europe
40.7197	-74.2127	890	North America
32.1934	-94.1947	6	North America
43.9724	-75.9013	1	North America
32.2113	-82.4648	5	North America
32.5253	-92.4307	3	North America
-42.9055	147.32	3	Oceania
17.998	101.755	1	Asia
5.18959	103.198	1	Asia
48.0689	9.26295	1	Europe
-25.0576	-49.3198	6	South America
3.89572	103.077	7	Asia
-25.553	-48.4967	21	South America
36.6035	-78.149	3	North America
43.2911	-84.1401	3	North America
42.2437	-84.4267	60	North America
-7.83023	111.992	3	Asia
16.241	-61.356	23	North America
40.454	-79.0288	3	North America
-15.8136	-47.9898	18	South America
48.2822	6.95782	2	Europe
39.9268	9.66351	1	Europe
57.6958	-4.27587	3	Europe
44.4937	34.1539	2	Europe
29.8469	-90.0718	157	North America
33.139	-118.389	1	North America
45.0906	6.0636	3	Europe
31.9855	-81.1878	12	North America
38.373	-112.662	3	North America
34.6399	-86.5352	15	North America
43.1486	-8.9674	1	Europe
52.0486	113.446	3	Europe
32.8629	-96.9614	209	North America
-16.4024	-41.0586	1	South America
51.6656	35.6772	4	Europe
38.6855	-87.5089	6	North America
51.5281	-1.72043	9	Europe
40.3401	-74.0852	49	North America
46.6556	-52.6409	4	North America
50.0304	36.2269	4	Europe
3.81151	100.814	3	Asia
-22.5582	-55.7079	2	South America
53.0025	17.7163	1	Europe
30.539	-97.5488	45	North America
39.4678	-74.5403	47	North America
1.47022	103.756	401	Asia
40.4755	-95.7312	1	North America
53.394	-114.226	8	North America
-25.41	-70.4831	1	South America
35.2401	-78.0134	20	North America
34.3896	-84.3092	1	North America
3.53036	98.1441	1	Asia
37.5025	15.0878	2	Europe
29.9849	-90.4101	27	North America
37.984	-120.378	2	North America
32.2506	-101.447	2	North America
43.6747	5.49805	2	Europe
53.1999	-2.53345	2	Europe
27.0799	49.5722	5	Asia
18.4735	73.8151	6	Asia
51.6343	5.95179	31	Europe
41.7651	-89.6941	1	North America
34.5829	-118.137	151	North America
6.08409	116.165	15	Asia
-39.8944	175.075	1	Oceania
42.9198	0.206294	1	Europe
50.6645	6.21891	1	Europe
43.1932	-76.2053	6	North America
53.1151	6.02796	30	Europe
3.01697	-60.6432	1	South America
36.6225	-121.843	12	North America
52.4187	0.769757	1	Europe
-29.3292	-51.5004	41	South America
19.2732	73.0423	5	Asia
37.6178	-122.071	233	North America
30.5051	-84.2089	74	North America
-27.8012	-50.3147	2	South America
49.4015	2.85486	5	Europe
50.3998	1.56621	1	Europe
43.2448	6.1188	5	Europe
44.5453	6.06236	1	Europe
24.2188	55.6894	3	Asia
40.7146	17.7768	1	Europe
-23.1018	-54.0488	1	South America
26.162	-98.1776	20	North America
44.5286	6.32791	1	Europe
50.2478	3.92045	4	Europe
40.4542	-124.057	1	North America
44.4267	-73.0869	4	North America
33.0452	-111.786	1	North America
5.23857	114.753	1	Asia
44.5502	38.1802	1	Europe
36.7455	-108.347	7	North America
41.0341	-73.7739	136	North America
36.772	-119.879	83	North America
55.5799	12.9349	3	Europe
34.8991	-76.9211	5	North America
29.3358	48.0346	64	Asia
34.5633	-117.961	6	North America
48.7701	9.13924	3	Europe
44.9709	-93.2615	220	North America
46.1964	3.41109	5	Europe
36.3583	-82.1417	3	North America
36.2272	-79.6786	11	North America
34.2212	-92.065	43	North America
39.9421	116.396	1	Asia
32.0113	-110.951	44	North America
39.8833	-87.4066	1	North America
54.1937	37.6289	6	Europe
44.6241	21.1739	1	Europe
-22.9326	-42.8294	2	South America
19.3515	-97.897	1	North America
29.2524	-81.4673	1	North America
46.699	-1.97161	1	Europe
39.5695	-75.4737	26	North America
40.8565	-91.4298	6	North America
40.6209	-77.5706	5	North America
-20.5065	-43.8515	1	South America
42.9778	-78.8791	53	North America
52.9077	1.10694	1	Europe
35.2489	-119.206	2	North America
39.0153	-75.4613	23	North America
53.8589	-6.53749	1	Europe
20.7153	-100.441	13	North America
54.7115	25.2583	1	Europe
47.6324	6.15258	2	Europe
19.3184	-98.2454	2	North America
38.2565	-78.3765	1	North America
52.1141	28.2107	1	Europe
53.2046	50.2277	4	Europe
49.178	6.49284	1	Europe
40.1016	-88.5336	1	North America
-6.41379	-36.1914	2	South America
-35.2682	-71.4921	1	South America
-34.4106	-70.8501	1	South America
41.8446	-84.5064	1	North America
36.5272	-82.5221	5	North America
47.2948	-101.036	1	North America
-20.1651	-47.4249	1	South America
30.6259	-84.4184	1	North America
52.9538	-1.1665	43	Europe
-22.6133	-43.7186	7	South America
41.0918	-82.4885	2	North America
42.0858	-72.509	55	North America
45.8586	1.23198	76	Europe
33.4297	-87.053	3	North America
55.8532	-4.40899	6	Europe
32.0073	-111.973	1	North America
-1.48015	33.7998	2	Africa
40.9294	-74.9748	2	North America
